Keyword,Confidentiality Level,Sensivity Level
ขลุ่ย,10,10
กีตาร์,10,10
กีตาร์ไฟฟ้า,10,10
เบส,10,10
แบนโจ,10,10
ไวโอลิน,10,10
แตรใหญ่,10,10
แซกโซโฟน,10,10
แตรเดียว,10,10
กลองชุด,10,10
กลองใหญ่,10,10
เหล็กสามเหลี่ยม,10,10
หีบเพลง,10,10
กรับมือ,10,10
ฉิ่ง,10,10
ฉาบ,10,10
ลูกเซ็ก,10,10
กลองยาว,10,10
อังกะลุง,10,10
ขิม,10,10
โปงลาง,10,10
ซอสามสาย,10,10
ซอด้วง,10,10
แคน,10,10
เปียโน,10,10
ระนาด,10,10
ระนาดทุ้ม,10,10
พิณ,10,10
เครื่องดนตรี,10,10
นักดนตรี,10,10
ผู้ควบคุมวง,10,10
ผู้ควบคุมการประสานเสียง,10,10
คอนเสิร์ต,10,10
การแสดง,10,10
การประกวด,10,10
แข่งขัน,10,10
เนื้อเพลง,10,10
ทำนอง,10,10
จังหวะ,10,10
