keyword,Confidentiality Level,Sensivity Level
มีชัยชนะ,3.75,5
ทำให้เคยชิน,2.5,3.75
เก่ง,3.75,2.5
ความรับผิดชอบ,2.5,2.5
การพัฒนา,3.75,3.75
อยากรู้อยากเห็น,3.75,5
ความเพียงพอ,2.5,2.5
การคาดคะเน,3.75,2.5
ความซาบซึ้ง,2.5,2.5
ความแน่นอน,3.75,2.5
ความคิดริเริ่ม,2.5,2.5
การฝืนทน,2.5,2.5
ความคล่องแคล่ว,2.5,2.5
ความรอบคอบ,2.5,2.5
ทำให้สมบูรณ์,2.5,3.75
ความสำนึกผิด,2.5,2.5
ความศรัทธา,3.75,3.75
ดีใจ,3.75,5
ตื่นตัว,2.5,2.5
ดูแลเอาใจใส่,2.5,3.75
กลัวจุดจบแบบนี้ั,2.5,-3.75
ปัญหา,2.5,-2.5
ท้อแท้หมดกำลัง,2.5,-3.75
แย่ลงไปหมด,3.75,-3.75
หมดศรัทธา,2.5,-2.5
พลาดไปเสีย,2.5,-2.5
น้อย,2.5,-2.5
เสียไปง่าย,3.75,-2.5
อย่าคาดหวัง,1.25,-2.5
หมดความอดทน,1.25,-2.5
ผิดหวัง,2.5,-2.5
คิดมันน้อย,2.5,-2.5
อวดเก่ง,1.25,-2.5
ความเสี่ยง,3.75,-2.5
พังยับเยิน,2.5,-3.75
เสียเวลา,2.5,-2.5
กดดัน,2.5,-2.5
มีสังหรณ์ใจ,3.75,-3.75
ไม่เด็ดขาด,2.5,-2.5
ไม่รอบคอบ,1.25,-2.5
